food_id,meal_type
1,breakfast
1,lunch
1,dinner

2,breakfast
2,snack

3,breakfast

4,breakfast
4,lunch

5,lunch
5,dinner

6,lunch
6,dinner

7,lunch
7,dinner

8,lunch
8,dinner

9,lunch

10,dinner

11,dinner

12,dinner

13,dinner

14,dinner

15,snack

16,snack

17,snack

18,snack

19,snack

20,snack

21,lunch

22,dinner

23,dinner

24,lunch

25,breakfast

26,snack

27,dinner

28,lunch
28,dinner

29,breakfast

30,lunch

31,breakfast
31,lunch
31,dinner

32,breakfast
32,dinner

33,breakfast
33,snack

34,breakfast
34,lunch

35,breakfast
35,snack

36,lunch

37,lunch
37,dinner

38,lunch
38,dinner

39,lunch
39,dinner

40,lunch
40,dinner

41,dinner

42,dinner

43,dinner

44,dinner

45,dinner

46,snack

47,snack

48,snack

49,snack

50,snack

51,lunch

52,lunch
52,dinner

53,lunch

54,dinner

55,dinner

56,breakfast
56,snack

57,breakfast

58,lunch

59,dinner

60,snack
